Результаты интерполяции (вариант D07)
========================================
x		Метод ближайшего соседа	Канонический полином
----------------------------------------
-2.1000		3.100000			3.100000
-2.0000		3.100000			3.490105
-1.9000		3.100000			3.766907
-1.8000		3.100000			3.943524
-1.7000		3.100000			4.032448
-1.6000		3.100000			4.045546
-1.5000		3.100000			3.994062
-1.4000		2.400000			3.888612
-1.3000		2.400000			3.739189
-1.2000		2.400000			3.555159
-1.1000		2.400000			3.345265
-1.0000		2.400000			3.117623
-0.9000		2.400000			2.879725
-0.8000		2.400000			2.638437
-0.7000		2.400000			2.400000
-0.6000		2.400000			2.170031
-0.5000		2.400000			1.953520
-0.4000		1.300000			1.754833
-0.3000		1.300000			1.577712
-0.2000		1.300000			1.425270
-0.1000		1.300000			1.300000
0.0000		1.300000			1.203766
0.1000		1.300000			1.137808
0.2000		1.300000			1.102741
0.3000		1.300000			1.098555
0.4000		1.300000			1.124614
0.5000		1.300000			1.179659
0.6000		1.300000			1.261803
0.7000		2.600000			1.368536
0.8000		2.600000			1.496722
0.9000		2.600000			1.642599
1.0000		2.600000			1.801782
1.1000		2.600000			1.969259
1.2000		2.600000			2.139393
1.3000		2.600000			2.305924
1.4000		2.600000			2.461963
1.5000		2.600000			2.600000
1.6000		2.600000			2.711897
1.7000		2.800000			2.788892
1.8000		2.800000			2.821597
1.9000		2.800000			2.800000
